GF3 code,standard_name,Name,units,P06 unit name,P06 unit code,MEDS match,IML match,P01 code,P01: preferred name
TILT,,Tilt Angle  ,degrees,Degrees ,UAAA,NA,"N: specifies""ADCP""",ZNTHSS01,Orientation (tilt) of measurement platform by inclinometer
TOTP,sea_water_pressure,Total Pressure (Atmosphere + Sea Pressure)  ,decibars,decibars,UPDB,Y,Y,PPSCZZ01,Pressure (measured variable) exerted by the water body plus atmosphere
TILTSDEV,,Tilt Angle standard deviation,degrees,,,,,,
TLENBSEQ,,Frequency data: Sequential number attached to bugs having a given total length,,,,,,,
TLENCNTP,,Frequency data: Percentage of bugs having a given total length,%,,,,,,
TLENCOLL,,Frequency data: Name of the collector,,,,,,,
TLENLBIN,,Frequency data: Bug total length lower frequency bin,mm,,,,,,
TLENQQQQ,,Frequency data: Quality control code of bugs having a given total length,,,,,,,
TLENTLEN,,Frequency data: Bug total length,mm,,,,,,
TLENUBIN,,Frequency data: Bug total length upper frequency bin,mm,,,,,,
TRPH,,Trophic Descriptor,1,,,,,,
TSM,,Bottle sample total suspended matter,g m-3,,,,,,
TSN,,Taxonomic Serial Number,1,,,,,,
TPHS,,Total Phosphorous (P) Content  ,mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,TPHSZZXX,Concentration of total phosphorus {total_P CAS 7723-14-0} per unit volume of the water body [dissolved plus reactive particulate phase]
VAIS,brunt_vaisala_frequency_in_sea_water,Brunt Vaissala Frequency  ,hertz,hertz,UTHZ,NA,Y,BVFSTP01,Brunt-Vaisala frequency squared of the water body by turbulence profiler precision CTD
VCSP,upward_sea_water_velocity, Vertical Current Speed  ,m s-1,metres per second,UVAA,NA,Y,LRZAZZZZ,Upward current velocity in the water body
WDIR,wind_to_direction,Wind Direction relative to North (T)  ,degrees,Degrees ,UAAA,"N: ""direction from which wind is blowing""",Y,,
WETT,,Wet Bulb Temperature  ,degree_C,Degrees Celsius,UPAA,Y,Y,CWETZZ01,Wet bulb temperature of the atmosphere
WSPD,wind_speed,Horizontal Wind Speed  ,m s-1,metres per second,UVAA,Y,Y,EWSBZZ01,Speed of wind {wind speed} in the atmosphere
WSPE,eastward_wind,Eastward (true) Component of Wind Speed  ,m s-1,metres per second,UVAA,Y,Y,ESEWZZXX,Eastward velocity of wind in the atmosphere
WSPN,northward_wind, Northward (True) Component of Wind Speed  ,m s-1,metres per second,UVAA,Y,Y,ESNSZZXX,Northward velocity of wind in the atmosphere
WVER,upward_air_velocity,Vertical  Wind Speed  ,m s-1,metres per second,UVAA,Y,Y,EWSWZZ01,Upward air velocity in the atmosphere
ZNTH,zenith_angle,Zenith Angle of Object From Reference  ,degrees,Degrees ,UAAA,Y,Y,,
NONE,, No WMO assigned  ,1,,,NA,Y,,
TOFF,,  CMCTD Time Offset in Day  ,s,seconds,UTBB,NA,Y,,
CMTM,time,CMCTD Time YYJJJHHMMSSss  ,1,,,NA,Y,,
UNKN,,Unknown WMO Code  ,1,,,NA,Y,,
PPTR,,PIPE Internal Pointer  ,1,,,NA,Y,,
BATT,,Battery Voltage  ,volts,volts,UVLT,NA,Y,,
REFR,,Reference  ,1,,,NA,Y,,
PVAR,,PIPE Variable  ,1,,,"NO!! COMPLETELY DIFFERENT""VARIANCE OF PRECEEDING PARAMETER""",Y,,
GEOP,geopotential,Geopotential  ,1,,,NA,Y,,
CNTR,,Counter  ,1,,,NA,Y,,
FLOR,,Fluorescence  ,1,,,NA,Y,FLUOZZZZ,Fluorescence of the water body
COND,sea_water_electrical_conductivity,Conductivity  ,mmHo,??,??,NA,Y,CNDCZZ01,Electrical conductivity of the water body
ERRV,,Error Velocity  ,m s-1,metres per second,UVAA,NA,Y,LERRAP01,
BEAM,,ADCP Echo Intensity  ,1,counts,UCNT,NA,Y,"TNIHCE (01,02, 03, 04)",Echo intensity from the water body by moored acoustic doppler current profiler (ADCP) beam 1
PSAR,, Photosynthetic Active Radiation  ,micromoles/m**2/sec,Micromoles per square metre per second,UM2S,NA,Y,,
GSPD,wind_speed_of_gust,Gust Wind Speed  ,m s-1,metres per second,UVAA,Y,Y,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere
GDIR,wind_gust_from_direction,Gust Wind Direction  ,degrees,Degrees ,UAAA,"N: ""direction from whichgust..""",Y,EGTDZZ01,Direction from of wind (gust) relative to True North {wind direction} in the atmosphere
TRAN,,Transmissivity  ,%,percent,UPCT,N,Y,,
TE90,sea_water_temperature,Temperature (1990 scale)  ,degree_C,Degrees Celsius,UPAA,NA,Y,TEMPP901,Temperature (ITS-90) of the water body
OXYG,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Dissolved Oxygen  ,umol/kg,micromoles per kilogram,KGUM,NA,Y,DOXMZZXX,Concentration of oxygen {O2 CAS 7782-44-7} per unit mass of the water body [dissolved plus reactive particulate phase]
OPPR,, Oxygen Partial Pressure  ,1,,,NA,Y,PO2XXXXX,Partial pressure of oxygen {O2 CAS 7782-44-7} in the water body
SNCN,,Scan Counter  ,1,,,NA,Y,,
PGDP,, Percent Good Pings , %,percent,UPCT,NA,Y,PCGDAP01,Acceptable proportion of signal returns by acoustic doppler current profiler (ADCP)
TURB,sea_water_turbidity,OBS Turbidity  ,FTU,,,NA,Y,TURBXXXX,Turbidity of water in the water body
VOLT,,Sensor Volts  ,volts,volts,UVLT,NOT FOUND,Y,,
OXYV,,Oxygen Sensor Voltage  ,volts,volts,UVLT,NOT FOUND,Y,OXYOCPVL,Voltage of instrument output by oxygen sensor
WTWT,,Wet Weight of Organisms,g,,,,,,
VMET,,Method used to determine the volume of water,1,,,,,,
URE,,Urea content,mmol m-3,,,,,UREAZZZZ,Concentration of urea {CAS 57-13-6} per unit volume of the water body [unknown phase]
412E,,Irradiance 412nm,uW/cm**2/nm,,,,,RXUU412E,Upwelling vector irradiance as energy of electromagnetic radiation (412nm wavelength) in the water body by cosine-collector radiometer
412ESDEV,,Irradiance 412nm standard deviation,uW/cm**2/nm,,,,,,
412L,,Radiance 412nm,uW/cm**2/nm/sr,,,,,RXUU412L,Upwelling radiance as energy of electromagnetic radiation (412nm wavelength) in the water body by radiance sensor
412LSDEV,,Radiance 412nm standard deviation,uW/cm**2/nm/sr,,,,,,
443E,,Irradiance 443nm,uW/cm**2/nm,,,,,RXUU443E,Upwelling vector irradiance as energy of electromagnetic radiation (443nm wavelength) in the water body by cosine-collector radiometer
443ESDEV,,Irradiance 443nm standard deviation,uW/cm**2/nm,,,,,,
443L,,Radiance 443nm,uW/cm**2/nm/sr,,,,,RXUU443L,Upwelling radiance as energy of electromagnetic radiation (443nm wavelength) in the water body by radiance sensor
443LSDEV,,Radiance 443nm standard deviation,uW/cm**2/nm/sr,,,,,,
490E,,Irradiance 490nm,uW/cm**2/nm,,,,,RXUU490E,Upwelling vector irradiance as energy of electromagnetic radiation (490nm wavelength) in the water body by cosine-collector radiometer
490ESDEV,,Irradiance 490nm standard deviation,uW/cm**2/nm,,,,,,
490L,,Radiance 490nm,uW/cm**2/nm/sr,,,,,RXUU490L,Upwelling radiance as energy of electromagnetic radiation (490nm wavelength) in the water body by radiance sensor
490LSDEV,,Radiance 490nm standard deviation,uW/cm**2/nm/sr,,,,,,
510E,,Irradiance 510nm,uW/cm**2/nm,,,,,RXUU510E,Upwelling vector irradiance as energy of electromagnetic radiation (510nm wavelength) in the water body by cosine-collector radiometer
510ESDEV,,Irradiance 510nm standard deviation,uW/cm**2/nm,,,,,,
510L,,Radiance 510nm,uW/cm**2/nm/sr,,,,,RXUU510L,Upwelling radiance as energy of electromagnetic radiation (510nm wavelength) in the water body by radiance sensor
510LSDEV,,Radiance 510nm standard deviation,uW/cm**2/nm/sr,,,,,,
555E,,Irradiance 555nm,uW/cm**2/nm,,,,,RXUU555E,Upwelling vector irradiance as energy of electromagnetic radiation (555nm wavelength) in the water body by cosine-collector radiometer
555ESDEV,,Irradiance 555nm standard deviation,uW/cm**2/nm,,,,,,
555L,,Radiance 555nm,uW/cm**2/nm/sr,,,,,RXUU555L,Upwelling radiance as energy of electromagnetic radiation (555nm wavelength) in the water body by radiance sensor
555LSDEV,,Radiance 555nm standard deviation,uW/cm**2/nm/sr,,,,,,
669E,,Irradiance 669nm,uW/cm**2/nm,,,,,IRRDE669,Downwelling vector irradiance as photons of electromagnetic radiation (669nm wavelength) in the water body by cosine-collector radiometer
669ESDEV,,Irradiance 669nm standard deviation,uW/cm**2/nm,,,,,,
669L,,Radiance 669nm,uW/cm**2/nm/sr,,,,,,
669LSDEV,,Radiance 669nm standard deviation,uW/cm**2/nm/sr,,,,,,
683E,,Irradiance 683nm,uW/cm**2/nm,,,,,RXUD683E,Downwelling vector irradiance as energy of electromagnetic radiation (683nm wavelength) in the water body by cosine-collector radiometer
683ESDEV,,Irradiance 683nm standard deviation,uW/cm**2/nm,,,,,,
683L,,Radiance 683nm,uW/cm**2/nm/sr,,,,,RXUUU683,Upwelling radiance as energy of electromagnetic radiation (683nm wavelength) in the water body by radiance sensor
683LSDEV,,Radiance 683nm standard deviation,uW/cm**2/nm/sr,,,,,,
